time,open,high,low,close,vwap,volume,count
2020-03-30 13:00:00,6330.43,6330.43,6330.43,6330.43,0.00,0.00000000,0
2020-03-30 14:00:00,6298.70,6348.18,6298.59,6348.18,6301.00,0.40186027,4
2020-03-30 15:00:00,6348.18,6418.70,6348.18,6350.39,6400.33,1.21505122,7
2020-03-30 16:00:00,6317.93,6397.98,6313.90,6397.98,6319.67,1.07270000,7
2020-03-30 17:00:00,6397.98,6397.98,6361.61,6361.61,6361.61,0.04985749,1
2020-03-30 18:00:00,6361.61,6378.83,6361.61,6378.83,6378.83,0.03918038,1
2020-03-30 19:00:00,6378.83,6378.83,6371.47,6371.47,6371.47,0.01466740,1
2020-03-30 20:00:00,6416.99,6500.00,6416.99,6464.74,6455.85,2.04821855,15
2020-03-30 21:00:00,6464.74,6551.80,6464.74,6538.00,6534.17,2.70060824,18
2020-03-30 22:00:00,6564.39,6564.40,6508.91,6508.91,6529.43,0.94912360,7
2020-03-30 23:00:00,6508.91,6508.91,6508.91,6508.91,0.00,0.00000000,0
2020-03-31 00:00:00,6508.91,6508.91,6508.91,6508.91,0.00,0.00000000,0
2020-03-31 01:00:00,6508.91,6508.91,6501.55,6508.70,6507.14,1.22713187,3
2020-03-31 02:00:00,6508.70,6508.70,6494.39,6494.40,6494.39,0.50000000,2
2020-03-31 03:00:00,6429.06,6459.86,6425.20,6451.90,6433.46,1.98206781,27
2020-03-31 04:00:00,6451.90,6451.90,6451.90,6451.90,0.00,0.00000000,0
2020-03-31 05:00:00,6451.90,6451.90,6451.90,6451.90,0.00,0.00000000,0
2020-03-31 06:00:00,6451.90,6451.90,6451.90,6451.90,0.00,0.00000000,0
2020-03-31 07:00:00,6451.90,6451.90,6451.90,6451.90,0.00,0.00000000,0
2020-03-31 08:00:00,6451.90,6471.44,6451.90,6471.44,6471.44,0.01341000,3
2020-03-31 09:00:00,6481.19,6481.19,6481.19,6481.19,6481.19,0.00472947,1
2020-03-31 10:00:00,6481.19,6481.19,6481.19,6481.19,0.00,0.00000000,0
2020-03-31 11:00:00,6481.19,6481.19,6385.52,6385.52,6419.30,0.25512478,2
2020-03-31 12:00:00,6385.52,6446.18,6344.10,6446.18,6356.20,1.07390192,3
2020-03-31 13:00:00,6446.18,6461.86,6446.18,6461.86,6461.86,0.00638660,1
2020-03-31 14:00:00,6461.86,6461.86,6461.86,6461.86,0.00,0.00000000,0
2020-03-31 15:00:00,6461.86,6837.38,6435.95,6837.38,6534.26,7.68505159,30
2020-03-31 16:00:00,6472.55,6479.89,6472.55,6479.89,6475.23,0.38558695,6
2020-03-31 17:00:00,6479.89,6479.89,6479.89,6479.89,0.00,0.00000000,0
2020-03-31 18:00:00,6479.89,6479.89,6479.89,6479.89,0.00,0.00000000,0
2020-03-31 19:00:00,6479.89,6489.09,6453.40,6477.07,6469.20,3.61838957,19
2020-03-31 20:00:00,6469.87,6485.67,6466.20,6485.67,6469.30,0.44795000,5
2020-03-31 21:00:00,6485.67,6485.67,6472.21,6476.71,6472.29,1.01459764,4
2020-03-31 22:00:00,6476.71,6476.71,6476.71,6476.71,0.00,0.00000000,0
2020-03-31 23:00:00,6476.71,6476.71,6459.18,6459.18,6459.18,0.01527135,1
2020-04-01 00:00:00,6459.18,6459.18,6296.29,6312.71,6296.74,0.08055679,7
2020-04-01 01:00:00,6312.71,6312.71,6299.78,6299.78,6299.78,0.05859785,3
2020-04-01 02:00:00,6299.78,6299.78,6299.78,6299.78,0.00,0.00000000,0
2020-04-01 03:00:00,6299.78,6361.50,6299.78,6361.50,6361.50,0.01900000,1
2020-04-01 04:00:00,6361.50,6361.50,6361.50,6361.50,0.00,0.00000000,0
2020-04-01 05:00:00,6361.50,6361.50,6361.50,6361.50,0.00,0.00000000,0
2020-04-01 06:00:00,6361.50,6361.50,6314.59,6317.80,6317.60,0.68565821,2
2020-04-01 07:00:00,6317.80,6324.58,6317.80,6324.58,6324.58,0.03147435,1
2020-04-01 08:00:00,6324.58,6324.58,6324.58,6324.58,0.00,0.00000000,0
2020-04-01 09:00:00,6324.58,6324.58,6290.46,6290.46,6293.36,0.04333509,2
2020-04-01 10:00:00,6296.76,6313.00,6296.76,6313.00,6302.36,0.01034879,2
2020-04-01 11:00:00,6313.00,6313.00,6299.11,6299.11,6299.11,0.03409554,4
2020-04-01 12:00:00,6299.11,6299.11,6249.54,6282.00,6275.54,9.01994693,11
2020-04-01 13:00:00,6282.00,6282.00,6205.62,6222.90,6220.78,2.02995049,11
2020-04-01 14:00:00,6218.37,6258.95,6218.37,6251.30,6234.55,1.46407976,13
2020-04-01 15:00:00,6251.30,6255.00,6249.00,6249.00,6251.99,0.20000000,5
2020-04-01 16:00:00,6227.27,6227.27,6167.04,6187.60,6172.92,0.52005873,5
2020-04-01 17:00:00,6187.60,6211.10,6187.60,6207.24,6209.61,0.12973281,5
2020-04-01 18:00:00,6215.00,6220.01,6215.00,6220.01,6215.41,1.79041073,12
2020-04-01 19:00:00,6220.01,6220.01,6215.88,6215.88,6215.88,0.00340504,1
2020-04-01 20:00:00,6215.88,6372.16,6215.88,6367.57,6353.44,1.85079623,15
2020-04-01 21:00:00,6367.57,6425.20,6367.57,6400.00,6405.37,0.16598348,7
2020-04-01 22:00:00,6400.00,6584.51,6400.00,6575.20,6508.65,1.95656966,27
2020-04-01 23:00:00,6567.90,6662.31,6567.90,6658.97,6649.00,1.18233723,10
2020-04-02 00:00:00,6672.66,6708.89,6655.09,6655.09,6667.73,0.61231353,12
2020-04-02 01:00:00,6655.09,6655.09,6655.09,6655.09,6655.09,0.45078000,1
2020-04-02 02:00:00,6655.09,6655.09,6655.09,6655.09,0.00,0.00000000,0
2020-04-02 03:00:00,6632.36,6632.36,6632.36,6632.36,6632.36,0.02985140,1
2020-04-02 04:00:00,6632.36,6632.36,6623.01,6623.01,6624.81,2.54694000,6
2020-04-02 05:00:00,6623.01,6623.01,6594.37,6609.50,6594.54,0.70203904,4
2020-04-02 06:00:00,6609.50,6609.50,6609.50,6609.50,0.00,0.00000000,0
2020-04-02 07:00:00,6609.50,6609.50,6609.50,6609.50,0.00,0.00000000,0
2020-04-02 08:00:00,6609.50,6642.72,6609.50,6642.72,6642.12,0.57628822,4
2020-04-02 09:00:00,6642.72,6668.90,6642.72,6668.90,6668.90,0.01200000,1
2020-04-02 10:00:00,6700.00,6700.00,6658.45,6659.20,6690.23,0.67604049,5
2020-04-02 11:00:00,6639.27,6707.18,6632.44,6686.97,6695.67,1.16235647,19
2020-04-02 12:00:00,6686.97,6728.95,6662.03,6662.03,6727.30,1.61482180,2
2020-04-02 13:00:00,6662.03,6662.04,6662.03,6662.04,6662.04,0.02000000,1
2020-04-02 14:00:00,6662.04,6774.75,6662.04,6766.62,6774.21,1.83859647,13
2020-04-02 15:00:00,6766.62,6785.82,6766.62,6783.84,6784.51,0.22722351,6
2020-04-02 16:00:00,6783.84,6912.87,6783.84,6912.87,6911.40,0.09341612,2
2020-04-02 17:00:00,6999.00,7151.90,6999.00,7108.60,7069.26,3.02378603,67
2020-04-02 18:00:00,7092.40,7092.40,6780.15,6780.20,6886.97,4.72689536,44
2020-04-02 19:00:00,6763.49,6849.90,6763.49,6822.49,6828.33,2.98287628,28
2020-04-02 20:00:00,6822.49,6822.49,6677.07,6677.07,6726.20,0.81445515,19
2020-04-02 21:00:00,6789.82,6832.18,6789.82,6832.18,6814.10,0.06246165,2
2020-04-02 22:00:00,6832.18,6832.18,6832.18,6832.18,0.00,0.00000000,0
